Loop Gain Phase X,Loop Gain Phase Y
1,179.9702977460988
1.023059729842509,179.969612820275
1.046651210825427,179.9689121002558
1.070786704986395,179.968195221832
1.095478757122332,179.9674618123955
1.12074020130978,179.9667114907468
1.146584167575622,179.9659438668953
1.173024088721613,179.9651585418577
1.200073707306289,179.9643551074505
1.227747082787869,179.9635331460775
1.256058598831886,179.9626922305128
1.285022970787309,179.961831923679
1.314655253335082,179.9609517784198
1.344970848313024,179.9600513372678
1.375985512721172,179.9591301322065
1.407715366911727,179.9581876844273
1.44017690296786,179.9572235040802
1.473386993275719,179.95623709002
1.507362899294123,179.9552279295447
1.542122280526466,179.9541954981303
1.57768320369952,179.9531392591573
1.614064152153895,179.9520586636319
1.651284035451041,179.9509531499008
1.689362199201789,179.9498221433595
1.728318435121529,179.9486650561534
1.768172991317259,179.9474812868723
1.808946582811855,179.9462702202376
1.850660402311025,179.9450312267834
1.893336131218546,179.9437636625279
1.936995950905506,179.9424668686401
1.98166255423942,179.9411401710965
2.027359157379196,179.9397828803314
2.074109511842097,179.9383942908779
2.121937916848953,179.9369736810017
2.170869231954065,179.9355203123255
2.22092888996634,179.9340334294464
2.272142910168386,179.9325122595415
2.32453791184044,179.9309560119681
2.37814112809615,179.9293638778514
2.432980420037406,179.9277350296653
2.489084291235582,179.9260686208007
2.546481902546706,179.9243637851273
2.60520308726827,179.9226196365423
2.665278366645546,179.9208352685108
2.726738965735475,179.9190097535933
2.789616829636377,179.9171421429652
2.853944640091907,179.9152314659229
2.919755832477902,179.913276729379
2.987084613180931,179.9112769173478
3.055965977377597,179.9092309904146
3.126435727223822,179.9071378851987
3.198530490463571,179.9049965137984
3.272287739466687,179.9028057632269
3.347745810705742,179.9005644948332
3.424943924682006,179.8982715437106
3.503922206310914,179.8959257180916
3.584721705777611,179.8935257987294
3.667384419873419,179.8910705382611
3.751953313824325,179.8885586605636
3.838472343622819,179.8859888600887
3.926986478874702,179.8833598011835
4.017541726172737,179.8806701173984
4.110185153009286,179.877918410776
4.20496491224037,179.8751032511249
4.30193026711386,179.8722231752772
4.401131616874816,179.8692766863266
4.502620522961273,179.866262252852
4.606449735804095,179.8631783081221
4.712673222244832,179.8600232492803
4.821346193585822,179.8567954365124
4.932525134287118,179.8534931921951
5.046267831325163,179.8501148000231
5.162633404228463,179.8466585041184
5.281682335805882,179.8431225081184
5.403476503583515,179.8395049742435
5.528079211966493,179.8358040223377
5.655555225142428,179.8320177288992
5.7859708007436,179.8281441260751
5.919393724285391,179.8241812006422
6.055893344398853,179.8201268929593
6.195540608875736,179.8159790959017
6.338408101544702,179.8117356537595
6.484570079997891,179.8073943611259
6.634102514187457,179.8029529617448
6.787083125912126,179.7984091473448
6.943591429214308,179.7937605564357
7.103708771708749,179.7890047730857
7.267518376864211,179.7841393256646
7.435105387260166,179.7791616855628
7.606556908840965,179.7740692658743
7.781962056190506,179.768859420057
7.961411998850911,179.7635294405578
8.145000008709319,179.7580765574067
8.332821508477386,179.7524979367776
8.52497412128872,179.7467906795199
8.721557721440014,179.7409518196515
8.922674486302265,179.7349783228196
9.12842894942904,179.7288670847259
9.338928054889408,179.7226149295182
9.554281212853782,179.7162186081333
9.774600356461546,179.7096747966273
10.00000000000004,179.702980094432
10.23059729842512,179.6961310226054
10.4665121082543,179.6891240220198
10.70786704986399,179.6819554515155
10.95478757122336,179.6746215860169
11.20740201309784,179.6671186145933
11.46584167575626,179.6594426384892
11.73024088721618,179.6515896690997
12.00073707306293,179.6435556259042
12.27747082787874,179.6353363343474
12.5605859883189,179.626927523678
12.85022970787314,179.6183248247378
13.14655253335087,179.6095237676897
13.44970848313029,179.6005197797127
13.75985512721177,179.5913081826244
14.07715366911733,179.5818841904574
14.40176902967865,179.5722429069871
14.73386993275725,179.5623793231923
15.07362899294129,179.552288314661
15.42122280526472,179.5419646389404
15.77683203699526,179.531402932825
16.140641521539,179.5205977095707
16.51284035451047,179.5095433560762
16.89362199201796,179.4982341299591
17.28318435121535,179.4866641566019
17.68172991317265,179.4748274261085
18.08946582811861,179.4627177901957
18.50660402311032,179.4503289590219
18.93336131218553,179.4376544979346
19.36995950905513,179.424687824152
19.81662554239427,179.411422203359
20.27359157379204,179.3978507462283
20.74109511842104,179.3839664048859
21.2193791684896,179.3697619692527
21.70869231954073,179.3552300633416
22.20928889966348,179.3403631414454
22.72142910168394,179.3251534842634
23.24537911840449,179.3095931949191
23.78141128096158,179.2936741948961
24.32980420037415,179.2773882198779
24.8908429123559,179.2607268155095
25.46481902546715,179.2436813330403
26.0520308726828,179.2262429248932
26.65278366645556,179.2084025401133
27.26738965735485,179.1901509197224
27.89616829636386,179.1714785919814
28.53944640091917,179.1523758675297
29.19755832477912,179.1328328344187
29.87084613180941,179.1128393530564
30.55965977377608,179.0923850509966
31.26435727223833,179.0714593176648
31.98530490463582,179.0500512989262
32.72287739466699,179.0281498915412
33.47745810705754,179.0057437375297
34.24943924682018,178.982821218367
35.03922206310926,178.9593704490794
35.84721705777623,178.9353792721991
36.67384419873432,178.9108352516079
37.51953313824338,178.8857256662135
38.38472343622832,178.8600375035064
39.26986478874716,178.8337574529963
40.17541726172751,178.8068718994609
41.101851530093,178.7793669160931
42.04964912240384,178.7512282574708
43.01930267113875,178.722441352407
44.01131616874832,178.6929912966175
45.02620522961289,178.6628628452345
46.06449735804111,178.6320404052047
47.12673222244849,178.6005080274631
48.2134619358584,178.5682493989985
49.32525134287136,178.5352478347246
50.46267831325181,178.5014862691759
51.62633404228481,178.4669472480709
52.816823358059,178.4316129196634
