IT("/R5/PLUS") X,IT("/R5/PLUS") Y
0,0.01999528895333846
2e-08,0.01999528895335355
6.000000000000001e-08,0.01999528895335102
1.4e-07,0.01999528895334628
3.000000000000001e-07,0.01999528895334969
6.200000000000002e-07,0.01999528895334719
1.02e-06,0.01999528895334918
1.42e-06,0.01999528895334761
1.82e-06,0.01999528895334879
2.22e-06,0.01999528895334797
2.62e-06,0.01999528895334846
3e-06,0.01999528895334829
3.0025e-06,0.01645308305283892
3.00625e-06,0.01146690962284056
3.01e-06,0.006898602562285519
3.011827723865463e-06,0.007346332721489992
3.014337844428299e-06,0.007750078310801084
3.017303823535113e-06,0.007815437404979506
3.021355269040248e-06,0.007548576457337784
3.024340887562476e-06,0.007227479874110386
3.027930932025788e-06,0.006799615421951664
3.032120299739878e-06,0.006290721741536182
3.03686854843324e-06,0.00573986720882649
3.043901611156086e-06,0.005032402767769864
3.053331957597708e-06,0.004340855335920967
3.061471711310622e-06,0.003975487687332027
3.063229713538926e-06,0.003921929798998831
3.066745717995533e-06,0.00384090644900548
3.071186613491846e-06,0.003789603467600995
3.075884955530904e-06,0.003791930535874565
3.081053306608557e-06,0.003843850451997987
3.088364641187131e-06,0.003957808507513478
3.098056195943909e-06,0.004087633803028722
3.107225351398332e-06,0.00412086452779606
3.114360439453916e-06,0.00408475412752824
3.121659356918012e-06,0.004028956318893983
3.128989598660242e-06,0.003985775830574537
3.141156662383116e-06,0.003964636047928296
3.155370313895789e-06,0.003987929363939812
3.17453103467848e-06,0.004012407147765728
3.193996022040082e-06,0.004001917325784927
3.224662188858815e-06,0.003990818671677439
3.253429158163148e-06,0.004000925884210929
3.310963096771815e-06,0.003997909884076663
3.363005587530288e-06,0.003995571495861589
3.444322821210931e-06,0.004000266429009561
3.596544386241305e-06,0.003995359949128529
3.752126559463334e-06,0.004000054599015604
3.968548279379695e-06,0.003995697895051604
4.255439420623732e-06,0.003999710077822796
4.62255079436814e-06,0.003995707183235515
5.022550794368141e-06,0.003999675683885176
5.422550794368141e-06,0.003996094752242858
